NAME,ADDRESS,LATITUDE,LONGITUDE,AMENITY_TYPE,PHONE_NUMBER,ENVIRONMENT,COUNTER
Fountain location:Aberdeen Park,plaza,49.234947000370624,-123.027254000175759,WaterFountain,null,Outdoor,0
Fountain location:Adanac Park,SW side of Field house,49.275858000301248,-123.024141000378449,WaterFountain,null,Outdoor,0
Fountain location:Alexandra Park,west plaza gateway,49.285554000393425,-123.142392000363742,WaterFountain,null,Outdoor,0
Fountain location:Almond Park,S-side of playground,49.260979999649720,-123.184758999439296,WaterFountain,null,Outdoor,0
Fountain location:Andy Livingstone Park - North of basketball court,by amphitheatre steps near bas,49.278810999742035,-123.106193999619620,WaterFountain,null,Outdoor,0
Fountain location:Andy Livingstone Park - South of soccer fields,north side of fieldhouse,49.277950999834147,-123.103574999946858,WaterFountain,null,Outdoor,0
Fountain location:Arbutus Greenway Park,S-side of playground,49.262128000212861,-123.155318000163945,WaterFountain,null,Outdoor,0
Fountain location:Arbutus Village Park,S-side of playground,49.248678999762163,-123.157990999601807,WaterFountain,null,Outdoor,0
Fountain location:Art Phillips Park (Discovery Square),NW plaza,49.285918999908915,-123.120938999867761,WaterFountain,null,Outdoor,0
Fountain location:Balaclava Park,W of wading pool,49.245614000377806,-123.175341999649930,WaterFountain,null,Outdoor,0
Fountain location:Beaconsfield Park,adjacent to field house,49.255191000153950,-123.050070999590403,WaterFountain,null,Outdoor,0
Fountain location:Bobolink Park,in front of wading pool,49.215521000189277,-123.056107000194203,WaterFountain,null,Outdoor,0
Fountain location:Brewers Park,S-side of wading pool,49.247450000228191,-123.066225999972588,WaterFountain,null,Outdoor,0
Fountain location:Burrard View Park,N-side of wading pool,49.290415000167599,-123.050482999905071,WaterFountain,null,Outdoor,0
Fountain location:CRAB Park at Portside,,49.284653700186325,-123.101820999994104,WaterFountain,null,Outdoor,0
Fountain location:Carnarvon Park,S-side of wading pool,49.256926000144269,-123.172514000222378,WaterFountain,null,Outdoor,0
Fountain location:Cedar Cottage Park,Near Sport courts,49.260791745923363,-123.076787639722539,WaterFountain,null,Outdoor,0
Fountain location:Chaldecott Park,W-side of spray park,49.249585000056356,-123.191687999808835,WaterFountain,null,Outdoor,0
Fountain location:Charleson Park,N of school off of seawall,49.268011999985049,-123.125901000518553,WaterFountain,null,Outdoor,0
Fountain location:China Creek North Park,S central side along jogging c,49.264372000356019,-123.083133999841948,WaterFountain,null,Outdoor,0
Fountain location:China Creek South Park,S-side of skate park,49.261644000105079,-123.079061000580495,WaterFountain,null,Outdoor,0
Fountain location:Clark Park,,49.256746000057646,-123.073106999834479,WaterFountain,null,Outdoor,0
Fountain location:Clinton Park - East side of wading pool,E-side of wading pool,49.270699000425218,-123.050136999675701,WaterFountain,null,Outdoor,0
Fountain location:Clinton Park - North side of ball diamond,N-side of B-ball diamond,49.271281000401586,-123.051686000137508,WaterFountain,null,Outdoor,0
Fountain location:Coal Harbour Park,near playground,49.289871000327466,-123.125384999887601,WaterFountain,null,Outdoor,0
Fountain location:Collingwood Park,in front of wading pool,49.236945999599115,-123.036379999852031,WaterFountain,null,Outdoor,0
Fountain location:Columbia Park,in front of wading pool,49.231825000108344,-123.113005000161237,WaterFountain,null,Outdoor,0
Fountain location:Connaught Park - East side of fieldhouse,near fieldhouse,49.262869000164578,-123.159336000258122,WaterFountain,null,Outdoor,0
Fountain location:Connaught Park - North of playground,,49.261767600085697,-123.161430000023671,WaterFountain,null,Outdoor,0
Fountain location:Coopers' Park,,49.273808599874677,-123.113056999840495,WaterFountain,null,Outdoor,0
"Fountain location:Coopers' Park - underneath bridge, near basket","underneath bridge, near basket",49.272798000140909,-123.114648999735422,WaterFountain,null,Outdoor,0
Fountain location:Creekside Park,,49.274263526979063,-123.103009123079289,WaterFountain,null,Outdoor,0
Fountain location:David Lam Park - South west of basketball courts,near playground and tennis court,49.271632000237439,-123.125720000149585,WaterFountain,null,Outdoor,0
Fountain location:David Lam Park - South west of playgrounds,"E area, near playground",49.272394000267298,-123.123289000391722,WaterFountain,null,Outdoor,0
Fountain location:Devonian Harbour Park,near Stanley Park entrance,49.294985000417128,-123.136001000591492,WaterFountain,null,Outdoor,0
Fountain location:Douglas Park (community centre),exterior of building,49.251935999979423,-123.122501999554416,WaterFountain,null,Outdoor,0
Fountain location:Douglas Park - Right side of wading pool,in front of wading pool,49.253088999620594,-123.122316999447037,WaterFountain,null,Outdoor,0
Fountain location:Ebisu Park,near playground,49.205406000277890,-123.132849000545221,WaterFountain,null,Outdoor,0
Fountain location:Elm Park,N-side of field house,49.233483999669588,-123.163401000037751,WaterFountain,null,Outdoor,0
